code,dividOperateDate,foreAdjustFactor,backAdjustFactor,adjustFactor,stock_code
sz.002352,2016-05-26,0.905851,3.414091,3.414091,002352
sz.002352,2017-04-17,0.907586,3.420630,3.420630,002352
sz.002352,2018-04-16,0.911665,3.436004,3.436004,002352
sz.002352,2019-04-18,0.917126,3.456585,3.456585,002352
sz.002352,2020-04-24,0.922205,3.475725,3.475725,002352
sz.002352,2021-04-20,0.926930,3.493535,3.493535,002352
sz.002352,2022-06-15,0.930221,3.505939,3.505939,002352
sz.002352,2023-05-12,0.934852,3.523391,3.523391,002352
sz.002352,2024-05-14,0.949877,3.580019,3.580019,002352
sz.002352,2024-11-07,0.979708,3.692451,3.692451,002352
sz.002352,2025-07-17,0.988958,3.727315,3.727315,002352
sz.002352,2025-09-16,1.000000,3.768931,3.768931,002352
